Id,AvailableStock,CatalogBrandId,CatalogTypeId,Description,MaxStockThreshold,Name,OnReorder,PictureFileName,PictureUri,Price,RestockThreshold,TagsJson
11,100,2,3,Cup<T> Sheet,0,Cup<T> Sheet,0,11.png,NULL,8.50,0,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""cup"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""sheet"",""yzgram"":""cup-sheet"",""ProductId"":11,""Description"":""Cup<T> Sheet"",""tagrams"":[""cup"",""cup-sheet"",""sheet"",""frisbee""]}"
12,100,5,2,Prism White TShirt,0,Prism White TShirt,0,12.png,NULL,12.00,0,"{""color"":[""white""],""size"":[],""quantity"":[],""shape"":[],""agram"":""prism"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""tshirt"",""yzgram"":""prism-tshirt"",""ProductId"":12,""Description"":""Prism White TShirt"",""tagrams"":[""prism"",""prism-tshirt"",""tshirt"",""white""]}"
100,1,100,100,INFLATABLE POLITICAL GLOBE,2,INFLATABLE POLITICAL GLOBE,0,100.jpg,NULL,0.85,1,"{""color"":[],""size"":[""inflatable""],""quantity"":[],""shape"":[],""agram"":""political"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""globe"",""yzgram"":""political-globe"",""ProductId"":100,""Description"":""INFLATABLE POLITICAL GLOBE"",""tagrams"":[""globe"",""inflatable"",""political"",""political-globe""]}"
101,5,100,100,GROOVY CACTUS INFLATABLE,1,GROOVY CACTUS INFLATABLE,0,101.jpg,NULL,0.39,1,"{""color"":[],""size"":[""inflatable""],""quantity"":[],""shape"":[""groovy""],""agram"":""cactus"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":101,""Description"":""GROOVY CACTUS INFLATABLE"",""tagrams"":[""cactus"",""groovy"",""inflatable""]}"
102,9,100,100,DOGGY RUBBER,0,DOGGY RUBBER,0,NULL,NULL,0.21,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""doggy"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""rubber"",""yzgram"":""doggy-rubber"",""ProductId"":102,""Description"":""DOGGY RUBBER"",""tagrams"":[""doggy"",""doggy-rubber"",""rubber""]}"
103,4,100,100,HEARTS WRAPPING TAPE,2,HEARTS WRAPPING TAPE,0,103.jpg,NULL,0.65,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""hearts""],""agram"":""wrapping"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""tape"",""yzgram"":""wrapping-tape"",""ProductId"":103,""Description"":""HEARTS WRAPPING TAPE"",""tagrams"":[""hearts"",""tape"",""wrapping"",""wrapping-tape""]}"
104,2,100,100,SPOTS ON RED BOOKCOVER TAPE,1,SPOTS ON RED BOOKCOVER TAPE,0,NULL,NULL,0.42,1,"{""color"":[""red""],""size"":[],""quantity"":[],""shape"":[""spots""],""agram"":""bookcover"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""tape"",""yzgram"":""bookcover-tape"",""ProductId"":104,""Description"":""SPOTS ON RED BOOKCOVER TAPE"",""tagrams"":[""bookcover"",""bookcover-tape"",""red"",""spots"",""tape""]}"
105,4,100,100,ARMY CAMO BOOKCOVER TAPE,0,ARMY CAMO BOOKCOVER TAPE,0,105.jpg,NULL,0.42,1,"{""color"":[""camo""],""size"":[],""quantity"":[],""shape"":[],""agram"":""army"",""bgram"":""bookcover"",""abgram"":""army-bookcover"",""ygram"":null,""zgram"":""tape"",""yzgram"":""bookcover-tape"",""ProductId"":105,""Description"":""ARMY CAMO BOOKCOVER TAPE"",""tagrams"":[""army"",""army-bookcover"",""bookcover"",""bookcover-tape"",""camo"",""tape""]}"
106,4,100,100,MINI FUNKY DESIGN TAPES,2,MINI FUNKY DESIGN TAPES,0,106.jpg,NULL,0.85,1,"{""color"":[],""size"":[""mini""],""quantity"":[],""shape"":[],""agram"":""tapes"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":106,""Description"":""MINI FUNKY DESIGN TAPES"",""tagrams"":[""mini"",""tapes""]}"
107,9,100,100,COLOURING PENCILS BROWN TUBE,0,COLOURING PENCILS BROWN TUBE,0,107.jpg,NULL,0.42,1,"{""color"":[""brown"",""colouring""],""size"":[],""quantity"":[""tube""],""shape"":[],""agram"":""pencils"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":107,""Description"":""COLOURING PENCILS BROWN TUBE"",""tagrams"":[""brown"",""colouring"",""pencils"",""tube""]}"
108,4,100,100,COLOURING PENCILS BROWN TUBE,0,COLOURING PENCILS BROWN TUBE,0,108.jpg,NULL,1.25,1,"{""color"":[""brown"",""colouring""],""size"":[],""quantity"":[""tube""],""shape"":[],""agram"":""pencils"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":108,""Description"":""COLOURING PENCILS BROWN TUBE"",""tagrams"":[""brown"",""colouring"",""pencils"",""tube""]}"
109,2,100,100,ASSTD DESIGN RACING CAR PEN,2,ASSTD DESIGN RACING CAR PEN,0,109.jpg,NULL,3.29,1,"{""color"":[],""size"":[],""quantity"":[""asstd""],""shape"":[],""agram"":""racing"",""bgram"":""car"",""abgram"":""racing-car"",""ygram"":null,""zgram"":""pen"",""yzgram"":""car-pen"",""ProductId"":109,""Description"":""ASSTD DESIGN RACING CAR PEN"",""tagrams"":[""asstd"",""car"",""car-pen"",""pen"",""racing"",""racing-car""]}"
110,10,100,100,FAN BLACK FRAME,1,FAN BLACK FRAME,0,110.jpg,NULL,0.29,1,"{""color"":[""black""],""size"":[],""quantity"":[],""shape"":[],""agram"":""fan"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""frame"",""yzgram"":""fan-frame"",""ProductId"":110,""Description"":""FAN BLACK FRAME"",""tagrams"":[""black"",""fan"",""fan-frame"",""frame""]}"
111,7,100,100,PAPER POCKET TRAVELING FAN,1,PAPER POCKET TRAVELING FAN,0,111.jpg,NULL,0.14,1,"{""color"":[],""size"":[""pocket""],""quantity"":[],""shape"":[],""agram"":""paper"",""bgram"":""traveling"",""abgram"":""paper-traveling"",""ygram"":null,""zgram"":""fan"",""yzgram"":""traveling-fan"",""ProductId"":111,""Description"":""PAPER POCKET TRAVELING FAN"",""tagrams"":[""fan"",""paper"",""paper-traveling"",""pocket"",""traveling"",""traveling-fan""]}"
112,2,100,100,ASSORTED COLOURS SILK FAN,2,ASSORTED COLOURS SILK FAN,0,NULL,NULL,0.83,1,"{""color"":[""colours""],""size"":[],""quantity"":[""assorted""],""shape"":[],""agram"":""silk"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""fan"",""yzgram"":""silk-fan"",""ProductId"":112,""Description"":""ASSORTED COLOURS SILK FAN"",""tagrams"":[""assorted"",""colours"",""fan"",""silk"",""silk-fan""]}"
113,8,100,100,SANDALWOOD FAN,0,SANDALWOOD FAN,0,113.jpg,NULL,0.85,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""sandalwood"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""fan"",""yzgram"":""sandalwood-fan"",""ProductId"":113,""Description"":""SANDALWOOD FAN"",""tagrams"":[""fan"",""sandalwood"",""sandalwood-fan""]}"
114,10,100,100,PINK PAPER PARASOL,0,PINK PAPER PARASOL,0,114.jpg,NULL,5.79,1,"{""color"":[""pink""],""size"":[],""quantity"":[],""shape"":[],""agram"":""paper"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""parasol"",""yzgram"":""paper-parasol"",""ProductId"":114,""Description"":""PINK PAPER PARASOL"",""tagrams"":[""paper"",""paper-parasol"",""parasol"",""pink""]}"
115,10,100,100,BLUE PAPER PARASOL,1,BLUE PAPER PARASOL,0,115.jpg,NULL,2.95,1,"{""color"":[""blue""],""size"":[],""quantity"":[],""shape"":[],""agram"":""paper"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""parasol"",""yzgram"":""paper-parasol"",""ProductId"":115,""Description"":""BLUE PAPER PARASOL"",""tagrams"":[""blue"",""paper"",""paper-parasol"",""parasol""]}"
116,10,100,100,PURPLE PAPER PARASOL,2,PURPLE PAPER PARASOL,0,NULL,NULL,2.95,1,"{""color"":[""purple""],""size"":[],""quantity"":[],""shape"":[],""agram"":""paper"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""parasol"",""yzgram"":""paper-parasol"",""ProductId"":116,""Description"":""PURPLE PAPER PARASOL"",""tagrams"":[""paper"",""paper-parasol"",""parasol"",""purple""]}"
117,1,100,100,RED PAPER PARASOL,0,RED PAPER PARASOL,0,117.jpg,NULL,2.95,1,"{""color"":[""red""],""size"":[],""quantity"":[],""shape"":[],""agram"":""paper"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""parasol"",""yzgram"":""paper-parasol"",""ProductId"":117,""Description"":""RED PAPER PARASOL"",""tagrams"":[""paper"",""paper-parasol"",""parasol"",""red""]}"
118,4,100,100,EDWARDIAN PARASOL BLACK,0,EDWARDIAN PARASOL BLACK,0,118.jpg,NULL,5.95,1,"{""color"":[""black""],""size"":[],""quantity"":[],""shape"":[""edwardian""],""agram"":""parasol"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":118,""Description"":""EDWARDIAN PARASOL BLACK"",""tagrams"":[""black"",""edwardian"",""parasol""]}"
119,6,100,100,EDWARDIAN PARASOL NATURAL,0,EDWARDIAN PARASOL NATURAL,0,119.jpg,NULL,5.95,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""edwardian""],""agram"":""parasol"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":119,""Description"":""EDWARDIAN PARASOL NATURAL"",""tagrams"":[""edwardian"",""natural"",""parasol""]}"
120,1,100,100,EDWARDIAN PARASOL PINK,2,EDWARDIAN PARASOL PINK,0,120.jpg,NULL,5.95,1,"{""color"":[""pink""],""size"":[],""quantity"":[],""shape"":[""edwardian""],""agram"":""parasol"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":120,""Description"":""EDWARDIAN PARASOL PINK"",""tagrams"":[""edwardian"",""parasol"",""pink""]}"
121,6,100,100,BLUE POLKADOT GARDEN PARASOL,1,BLUE POLKADOT GARDEN PARASOL,0,121.jpg,NULL,7.95,1,"{""color"":[""blue""],""size"":[],""quantity"":[],""shape"":[""polkadot""],""agram"":""garden"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""parasol"",""yzgram"":""garden-parasol"",""ProductId"":121,""Description"":""BLUE POLKADOT GARDEN PARASOL"",""tagrams"":[""blue"",""garden"",""garden-parasol"",""parasol"",""polkadot""]}"
122,0,100,100,PINK POLKADOT GARDEN PARASOL,1,PINK POLKADOT GARDEN PARASOL,0,122.jpg,NULL,7.95,1,"{""color"":[""pink""],""size"":[],""quantity"":[],""shape"":[""polkadot""],""agram"":""garden"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""parasol"",""yzgram"":""garden-parasol"",""ProductId"":122,""Description"":""PINK POLKADOT GARDEN PARASOL"",""tagrams"":[""garden"",""garden-parasol"",""parasol"",""pink"",""polkadot""]}"
123,2,100,100,ICE CREAM DESIGN GARDEN PARASOL,0,ICE CREAM DESIGN GARDEN PARASOL,0,123.jpg,NULL,7.95,1,"{""color"":[""cream""],""size"":[],""quantity"":[],""shape"":[],""agram"":""ice"",""bgram"":""garden"",""abgram"":""ice-garden"",""ygram"":null,""zgram"":""parasol"",""yzgram"":""garden-parasol"",""ProductId"":123,""Description"":""ICE CREAM DESIGN GARDEN PARASOL"",""tagrams"":[""cream"",""garden"",""garden-parasol"",""ice"",""ice-garden"",""parasol""]}"
124,3,100,100,FAIRY CAKE DESIGN UMBRELLA,2,FAIRY CAKE DESIGN UMBRELLA,0,124.jpg,NULL,2.95,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""fairy""],""agram"":""cake"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""umbrella"",""yzgram"":""cake-umbrella"",""ProductId"":124,""Description"":""FAIRY CAKE DESIGN UMBRELLA"",""tagrams"":[""cake"",""cake-umbrella"",""fairy"",""umbrella""]}"
125,6,100,100,SMALL FOLDING SCISSOR(POINTED EDGE),0,SMALL FOLDING SCISSOR(POINTED EDGE),0,125.jpg,NULL,0.12,1,"{""color"":[],""size"":[""small""],""quantity"":[],""shape"":[],""agram"":""folding"",""bgram"":""scissor"",""abgram"":""folding-scissor"",""ygram"":null,""zgram"":""edge"",""yzgram"":""scissor-edge"",""ProductId"":125,""Description"":""SMALL FOLDING SCISSOR(POINTED EDGE)"",""tagrams"":[""edge"",""folding"",""folding-scissor"",""scissor"",""scissor-edge"",""small""]}"
126,3,100,100,FOLDING CAMPING SCISSOR W/KNIF & S,0,FOLDING CAMPING SCISSOR W/KNIF & S,0,NULL,NULL,0.12,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""folding"",""bgram"":""camping"",""abgram"":""folding-camping"",""ygram"":""scissor"",""zgram"":""knif"",""yzgram"":""scissor-knif"",""ProductId"":126,""Description"":""FOLDING CAMPING SCISSOR W/KNIF & S"",""tagrams"":[""camping"",""folding"",""folding-camping"",""knif"",""scissor"",""scissor-knif""]}"
127,8,100,100,ANIMAL STICKERS,0,ANIMAL STICKERS,0,NULL,NULL,0.21,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""animal""],""agram"":""stickers"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":127,""Description"":""ANIMAL STICKERS"",""tagrams"":[""animal"",""stickers""]}"
128,1,100,100,FOOD/DRINK SPONGE STICKERS,0,FOOD/DRINK SPONGE STICKERS,0,128.jpg,NULL,0.21,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""food"",""bgram"":""drink"",""abgram"":""food-drink"",""ygram"":""sponge"",""zgram"":""stickers"",""yzgram"":""sponge-stickers"",""ProductId"":128,""Description"":""FOOD/DRINK SPONGE STICKERS"",""tagrams"":[""drink"",""food"",""food-drink"",""sponge"",""sponge-stickers"",""stickers""]}"
129,5,100,100,SMALL CHINESE STYLE SCISSOR,1,SMALL CHINESE STYLE SCISSOR,0,129.jpg,NULL,0.42,1,"{""color"":[],""size"":[""small""],""quantity"":[],""shape"":[""chinese""],""agram"":""scissor"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":129,""Description"":""SMALL CHINESE STYLE SCISSOR"",""tagrams"":[""chinese"",""scissor"",""small""]}"
130,0,100,100,MEDIUM CHINESE STYLE SCISSOR,0,MEDIUM CHINESE STYLE SCISSOR,0,130.jpg,NULL,0.50,1,"{""color"":[],""size"":[""medium""],""quantity"":[],""shape"":[""chinese""],""agram"":""scissor"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":130,""Description"":""MEDIUM CHINESE STYLE SCISSOR"",""tagrams"":[""chinese"",""medium"",""scissor""]}"
131,9,100,100,LARGE CHINESE STYLE SCISSOR,0,LARGE CHINESE STYLE SCISSOR,0,NULL,NULL,0.85,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""chinese""],""agram"":""scissor"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":131,""Description"":""LARGE CHINESE STYLE SCISSOR"",""tagrams"":[""chinese"",""scissor""]}"
132,4,100,100,CLEAR STATIONERY BOX SET,0,CLEAR STATIONERY BOX SET,0,132.jpg,NULL,0.85,1,"{""color"":[""clear""],""size"":[],""quantity"":[""box"",""set""],""shape"":[],""agram"":""stationery"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":132,""Description"":""CLEAR STATIONERY BOX SET"",""tagrams"":[""box"",""clear"",""set"",""stationery""]}"
133,3,100,100,MINI HIGHLIGHTER PENS,0,MINI HIGHLIGHTER PENS,0,133.jpg,NULL,0.12,1,"{""color"":[],""size"":[""mini""],""quantity"":[],""shape"":[],""agram"":""highlighter"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""pens"",""yzgram"":""highlighter-pens"",""ProductId"":133,""Description"":""MINI HIGHLIGHTER PENS"",""tagrams"":[""highlighter"",""highlighter-pens"",""mini"",""pens""]}"
134,8,100,100,POP ART PUSH DOWN RUBBER,2,POP ART PUSH DOWN RUBBER,0,134.jpg,NULL,0.12,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""pop""],""agram"":""push"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""rubber"",""yzgram"":""push-rubber"",""ProductId"":134,""Description"":""POP ART PUSH DOWN RUBBER"",""tagrams"":[""pop"",""push"",""push-rubber"",""rubber""]}"
135,4,100,100,POPART WOODEN PENCILS ASST,1,POPART WOODEN PENCILS ASST,0,NULL,NULL,0.04,1,"{""color"":[],""size"":[],""quantity"":[""asst""],""shape"":[""popart"",""wooden""],""agram"":""pencils"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":135,""Description"":""POPART WOODEN PENCILS ASST"",""tagrams"":[""asst"",""pencils"",""popart"",""wooden""]}"
136,6,100,100,TEATIME PEN CASE & PENS,0,TEATIME PEN CASE & PENS,0,NULL,NULL,0.85,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""teatime"",""bgram"":""pen"",""abgram"":""teatime-pen"",""ygram"":null,""zgram"":""pens"",""yzgram"":""pen-pens"",""ProductId"":136,""Description"":""TEATIME PEN CASE & PENS"",""tagrams"":[""pen"",""pen-pens"",""pens"",""teatime"",""teatime-pen""]}"
137,1,100,100,TEATIME ROUND PENCIL SHARPENER,0,TEATIME ROUND PENCIL SHARPENER,0,137.jpg,NULL,0.12,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[""round""],""agram"":""teatime"",""bgram"":""pencil"",""abgram"":""teatime-pencil"",""ygram"":null,""zgram"":""sharpener"",""yzgram"":""pencil-sharpener"",""ProductId"":137,""Description"":""TEATIME ROUND PENCIL SHARPENER"",""tagrams"":[""pencil"",""pencil-sharpener"",""round"",""sharpener"",""teatime"",""teatime-pencil""]}"
138,8,100,100,TEATIME GEL PENS ASST,1,TEATIME GEL PENS ASST,0,NULL,NULL,0.12,1,"{""color"":[],""size"":[],""quantity"":[""asst""],""shape"":[],""agram"":""teatime"",""bgram"":""gel"",""abgram"":""teatime-gel"",""ygram"":null,""zgram"":""pens"",""yzgram"":""gel-pens"",""ProductId"":138,""Description"":""TEATIME GEL PENS ASST"",""tagrams"":[""asst"",""gel"",""gel-pens"",""pens"",""teatime"",""teatime-gel""]}"
139,4,100,100,TEATIME PUSH DOWN RUBBER,0,TEATIME PUSH DOWN RUBBER,0,139.jpg,NULL,0.19,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""teatime"",""bgram"":""push"",""abgram"":""teatime-push"",""ygram"":null,""zgram"":""rubber"",""yzgram"":""push-rubber"",""ProductId"":139,""Description"":""TEATIME PUSH DOWN RUBBER"",""tagrams"":[""push"",""push-rubber"",""rubber"",""teatime"",""teatime-push""]}"
140,1,100,100,POPART RECT PENCIL SHARPENER ASST,1,POPART RECT PENCIL SHARPENER ASST,0,NULL,NULL,0.12,1,"{""color"":[],""size"":[],""quantity"":[""asst""],""shape"":[""popart""],""agram"":""rect"",""bgram"":""pencil"",""abgram"":""rect-pencil"",""ygram"":null,""zgram"":""sharpener"",""yzgram"":""pencil-sharpener"",""ProductId"":140,""Description"":""POPART RECT PENCIL SHARPENER ASST"",""tagrams"":[""asst"",""pencil"",""pencil-sharpener"",""popart"",""rect"",""rect-pencil"",""sharpener""]}"
141,2,100,100,FLOWERS HANDBAG blue and orange,0,FLOWERS HANDBAG blue and orange,0,NULL,NULL,1.25,1,"{""color"":[""blue""],""size"":[],""quantity"":[],""shape"":[""flowers""],""agram"":""handbag"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""orange"",""yzgram"":""handbag-orange"",""ProductId"":141,""Description"":""FLOWERS HANDBAG blue and orange"",""tagrams"":[""blue"",""flowers"",""handbag"",""handbag-orange"",""orange""]}"
142,0,100,100,WRAP CAROUSEL,2,WRAP CAROUSEL,0,142.jpg,NULL,0.42,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""wrap"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""carousel"",""yzgram"":""wrap-carousel"",""ProductId"":142,""Description"":""WRAP CAROUSEL"",""tagrams"":[""carousel"",""wrap"",""wrap-carousel""]}"
143,7,100,100,WRAP PINK FAIRY CAKES,0,WRAP PINK FAIRY CAKES,0,143.jpg,NULL,0.42,1,"{""color"":[""pink""],""size"":[],""quantity"":[],""shape"":[""fairy""],""agram"":""wrap"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""cakes"",""yzgram"":""wrap-cakes"",""ProductId"":143,""Description"":""WRAP PINK FAIRY CAKES"",""tagrams"":[""cakes"",""fairy"",""pink"",""wrap"",""wrap-cakes""]}"
144,10,100,100,WRAP BAD HAIR DAY,0,WRAP BAD HAIR DAY,0,144.jpg,NULL,0.10,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""wrap"",""bgram"":""bad"",""abgram"":""wrap-bad"",""ygram"":""hair"",""zgram"":""day"",""yzgram"":""hair-day"",""ProductId"":144,""Description"":""WRAP BAD HAIR DAY"",""tagrams"":[""bad"",""day"",""hair"",""hair-day"",""wrap"",""wrap-bad""]}"
145,4,100,100,WRAP  PINK FLOCK,2,WRAP  PINK FLOCK,0,NULL,NULL,0.42,1,"{""color"":[""pink""],""size"":[],""quantity"":[],""shape"":[],""agram"":""wrap"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":""flock"",""yzgram"":""wrap-flock"",""ProductId"":145,""Description"":""WRAP  PINK FLOCK"",""tagrams"":[""flock"",""pink"",""wrap"",""wrap-flock""]}"
146,0,100,100,WRAP ENGLISH ROSE,1,WRAP ENGLISH ROSE,0,NULL,NULL,0.42,1,"{""color"":[""rose""],""size"":[],""quantity"":[],""shape"":[""english""],""agram"":""wrap"",""bgram"":null,""abgram"":null,""ygram"":null,""zgram"":null,""yzgram"":null,""ProductId"":146,""Description"":""WRAP ENGLISH ROSE"",""tagrams"":[""english"",""rose"",""wrap""]}"
147,1,100,100,WRAP SUKI AND FRIENDS,2,WRAP SUKI AND FRIENDS,0,NULL,NULL,0.42,1,"{""color"":[],""size"":[],""quantity"":[],""shape"":[],""agram"":""wrap"",""bgram"":""suki"",""abgram"":""wrap-suki"",""ygram"":null,""zgram"":""friends"",""yzgram"":""suki-friends"",""ProductId"":147,""Description"":""WRAP SUKI AND FRIENDS"",""tagrams"":[""friends"",""suki"",""suki-friends"",""wrap"",""wrap-suki""]}"
